datetime,temp_C,humidity_%,windspeed_kph,precip_mm,pm10,pm2_5,co,no2,so2,o3,log_co,log_pm2_5,log_pm10,log_precip_mm,log_so2,log_no2,scaled_temp_C,scaled_humidity_%,scaled_windspeed_kph,scaled_log_pm2_5,scaled_log_pm10,scaled_log_precip_mm,scaled_log_co,scaled_log_no2,scaled_log_so2,scaled_o3,aqi_us,aqi_us_lag1,aqi_us_lag24,hour_sin,hour_cos,aqi_us_lag12,hour,day_of_week,is_weekend,log_pm2_5_scaled_windspeed_kph,scaled_temp_C_scaled_o3,scaled_temp_C_scaled_windspeed_kph
02/04/2025 16:00,36.0,18.04,20.5,0.0,39.9,22.8,957.0,51.3,13.5,41.0,6.864847778,3.169685581,3.711130063,0.0,2.674148649,3.956996371,1.582995659,-2.542554379,0.390336457,-0.039963519,-0.500834803,-0.109221172,2.855538456,2.395864047,0.356226654,-1.141434002,89,115.0,99.0,-0.866025404,-0.5,89.0,16,2,0,1.237243839,-1.80688507,0.617900917
02/04/2025 17:00,35.0,16.62,20.8,0.0,45.2,24.0,844.0,47.9,13.0,41.0,6.739336627,3.218875825,3.832979798,0.0,2.63905733,3.889777396,1.267980258,-2.622207757,0.426576849,0.099867751,-0.291431798,-0.109221172,2.557262486,2.286845229,0.251319971,-1.141434002,80,89.0,76.0,-0.965925826,-0.258819045,90.0,17,2,0,1.373097907,-1.44731578,0.540891023
02/04/2025 18:00,32.0,27.58,22.3,0.0,50.6,25.7,729.0,43.4,12.5,43.0,6.593044534,3.284663565,3.943521672,0.0,2.602689685,3.793239469,0.322934057,-2.007418304,0.607778809,0.286880104,-0.101461744,-0.109221172,2.209600818,2.130275587,0.142597673,-1.078701593,80,80.0,77.0,-1.0,-1.84e-16,90.0,18,2,0,1.99634891,-0.348349482,0.196272477
02/04/2025 19:00,29.0,48.34,18.4,0.0,53.8,26.7,627.0,37.9,11.6,46.0,6.442540166,3.321432413,4.003690194,0.0,2.533696814,3.660994251,-0.622112145,-0.842908356,0.136653713,0.391401534,0.001939951,-0.109221172,1.851928722,1.915794221,-0.063658842,-0.984602978,79,80.0,78.0,-0.965925826,0.258819045,90.0,19,2,0,0.453886072,0.612533471,-0.085013935
02/04/2025 20:00,27.2,67.39,12.2,0.0,50.8,25.6,523.0,31.3,10.6,50.0,6.261491684,3.280911216,3.947390149,0.0,2.451005098,3.47506723,-1.189139865,0.225680975,-0.61231439,0.27621344,-0.094813632,-0.109221172,1.42166885,1.614249245,-0.310868514,-0.859138159,79,79.0,79.0,-0.866025404,0.5,89.0,20,2,0,-2.00894915,1.021635434,0.728127451
02/04/2025 21:00,27.0,69.73,9.4,0.0,45.6,23.6,445.0,26.3,10.1,53.0,6.100318952,3.202746443,3.841600541,0.0,2.406945108,3.306886702,-1.252142945,0.356940767,-0.950558049,0.054017359,-0.276616751,-0.109221172,1.038643495,1.341486344,-0.442587339,-0.765039544,79,79.0,80.0,-0.707106781,0.707106781,87.0,21,2,0,-3.04439641,0.957938868,1.190234555
02/04/2025 22:00,26.0,78.63,5.4,0.0,39.9,21.7,377.0,23.1,10.0,52.0,5.934894196,3.122364924,3.711130063,0.0,2.397895273,3.18221184,-1.567158346,0.856176728,-1.433763276,-0.174480182,-0.500834803,-0.109221172,0.645513248,1.139282931,-0.469642127,-0.796405749,79,79.0,81.0,-0.5,0.866025404,86.0,22,2,0,-4.476732162,1.248093916,2.246934084
02/04/2025 23:00,25.6,83.72,6.3,0.0,37.7,20.6,335.0,21.6,10.4,48.0,5.81711116,3.072693315,3.6558396,0.0,2.433613355,3.117949906,-1.693164506,1.141694822,-1.3250421,-0.315679812,-0.595853385,-0.109221172,0.365603065,1.035059976,-0.362861715,-0.921870569,79,79.0,82.0,-0.258819045,0.965925826,86.0,23,2,0,-4.071448003,1.560878527,2.243514253
03/04/2025 00:00,25.0,83.45,3.6,0.0,55.2,26.5,391.0,23.4,12.5,49.0,5.97126184,3.314186005,4.028916757,0.0,2.602689685,3.194583132,-1.882173746,1.126549461,-1.651205628,0.37080244,0.045292677,-0.109221172,0.731940584,1.15934726,0.142597673,-0.890504364,78,79.0,82.0,0.0,1.0,114.0,0,3,0,-5.472402584,1.676083935,3.107855882
03/04/2025 01:00,24.0,83.33,5.4,0.0,55.9,28.8,660.0,34.7,15.3,39.0,6.49375384,3.394508394,4.041295341,0.0,2.791165108,3.575150689,-2.197189147,1.11981819,-1.433763276,0.599131895,0.066565704,-0.109221172,1.973637495,1.776569192,0.706051301,-1.204166412,78,78.0,84.0,0.258819045,0.965925826,131.0,1,3,0,-4.866921475,2.645781372,3.150249109
03/04/2025 02:00,23.4,84.91,2.2,0.0,64.3,36.9,1027.0,49.8,19.2,27.0,6.935370446,3.634951112,4.178992036,0.0,3.005682604,3.927896355,-2.386198387,1.208446596,-1.820327458,1.282629432,0.303202261,-0.109221172,3.023134857,2.348668305,1.347358588,-1.58056087,78,78.0,85.0,0.5,0.866025404,131.0,2,3,0,-6.616801318,3.771531799,4.343662444
03/04/2025 03:00,22.0,88.43,7.6,0.0,60.8,44.9,1215.0,56.9,22.5,29.0,7.103322063,3.826465117,4.123903364,0.0,3.157000421,4.058717385,-2.827219948,1.405897223,-1.168000401,1.827039142,0.208530463,-0.109221172,3.422270162,2.560839856,1.799728301,-1.51782846,77,78.0,87.0,0.707106781,0.707106781,115.0,3,3,0,-4.469312791,4.2912349,3.302194033
03/04/2025 04:00,21.0,88.35,3.6,0.0,47.3,31.2,1049.0,48.6,24.9,59.0,6.956545443,3.471966453,3.877431561,0.0,3.254242969,3.903990834,-3.142235348,1.401409709,-1.651205628,0.819319027,-0.215039899,-0.109221172,3.073457022,2.309897234,2.090438175,-0.576842315,76,77.0,89.0,0.866025404,0.5,89.0,4,3,0,-5.732930547,1.812574312,5.188476691
