datetime,temp_C,humidity_%,windspeed_kph,precip_mm
2025-04-14 11:00:00,33.8,40.64,22.3,0.0
2025-04-14 12:00:00,35.0,34.41,35.3,0.0
2025-04-14 13:00:00,36.0,32.56,20.5,0.0
2025-04-14 14:00:00,34.6,45.12,28.0,0.0
2025-04-14 15:00:00,33.0,49.39,29.5,0.0
2025-04-14 16:00:00,34.0,43.9,29.5,0.0
2025-04-14 17:00:00,33.0,49.96,25.1,0.0
2025-04-14 18:00:00,32.0,52.25,27.7,0.0
2025-04-14 19:00:00,30.0,58.57,24.1,0.0
2025-04-14 20:00:00,29.0,69.22,13.7,0.0
2025-04-14 21:00:00,28.0,74.29,13.0,0.0
2025-04-14 22:00:00,28.0,69.91,24.1,0.0
2025-04-14 23:00:00,28.0,71.28,13.7,0.0
2025-04-15 00:00:00,27.0,78.77,11.2,0.0
2025-04-15 01:00:00,27.0,78.77,11.2,0.0
2025-04-15 02:00:00,27.2,78.06,15.8,0.0
2025-04-15 03:00:00,27.0,78.77,16.6,0.0
2025-04-15 04:00:00,27.0,78.77,9.4,0.0
2025-04-15 05:00:00,26.4,82.22,14.4,0.0
2025-04-15 06:00:00,26.0,83.56,7.6,0.0
2025-04-15 07:00:00,26.0,88.75,9.4,0.0
2025-04-15 08:00:00,27.2,79.37,13.3,0.0
2025-04-15 09:00:00,30.0,66.17,13.0,0.0
2025-04-15 10:00:00,31.0,58.8,198.4,0.0
2025-04-15 11:00:00,33.0,51.84,13.7,0.0
2025-04-15 12:00:00,35.0,41.52,22.3,0.0
2025-04-15 13:00:00,36.0,39.29,16.6,0.0
2025-04-15 14:00:00,36.8,39.59,21.2,0.0
2025-04-15 15:00:00,36.0,41.79,22.3,0.0
2025-04-15 16:00:00,35.0,44.17,24.1,0.0
2025-04-15 17:00:00,33.6,53.0,18.4,0.0
2025-04-15 18:00:00,32.0,52.25,24.1,0.0
2025-04-15 19:00:00,30.0,62.27,22.3,0.0
2025-04-15 20:00:00,29.0,71.8,15.8,0.0
2025-04-15 21:00:00,28.0,78.91,18.4,0.0
2025-04-15 22:00:00,28.0,78.91,18.4,0.0
2025-04-15 23:00:00,28.0,79.48,14.4,0.0
2025-04-16 00:00:00,28.0,78.91,14.8,0.0
2025-04-16 01:00:00,27.0,78.77,14.8,0.0
2025-04-16 02:00:00,27.2,80.9,15.5,0.0
2025-04-16 03:00:00,27.0,78.77,18.4,0.0
2025-04-16 04:00:00,27.0,78.77,18.4,0.0
2025-04-16 05:00:00,27.0,82.23,13.3,0.0
2025-04-16 06:00:00,26.0,83.56,16.6,0.0
2025-04-16 07:00:00,27.0,78.77,18.4,0.0
2025-04-16 08:00:00,28.0,76.64,16.9,0.0
2025-04-16 09:00:00,29.0,70.1,14.8,0.0
2025-04-16 10:00:00,31.0,58.8,13.0,0.0
2025-04-16 11:00:00,33.0,51.84,17.3,0.0
2025-04-16 12:00:00,35.0,41.52,31.7,0.0
2025-04-16 13:00:00,35.0,44.17,24.1,0.0
2025-04-16 14:00:00,34.6,49.53,25.6,0.0
2025-04-16 15:00:00,34.0,46.69,27.7,0.0
2025-04-16 16:00:00,34.0,49.64,35.3,0.0
2025-04-16 17:00:00,32.0,55.25,32.7,0.0
2025-04-16 18:00:00,32.0,49.13,31.7,0.0
2025-04-16 19:00:00,30.0,51.75,20.5,0.0
2025-04-16 20:00:00,29.8,57.5,14.8,0.0
2025-04-16 21:00:00,29.0,62.05,20.5,0.0
2025-04-16 22:00:00,29.0,62.05,20.5,0.0
2025-04-16 23:00:00,28.2,71.66,14.8,0.0
2025-04-17 00:00:00,28.0,65.76,13.0,0.0
2025-04-17 01:00:00,28.0,61.83,16.6,0.0
2025-04-17 02:00:00,28.0,68.7,14.8,0.0
2025-04-17 03:00:00,28.0,69.91,14.8,0.0
2025-04-17 04:00:00,27.0,74.13,14.8,0.0
2025-04-17 05:00:00,27.2,75.24,13.3,0.0
2025-04-17 06:00:00,27.0,74.13,22.3,0.0
2025-04-17 07:00:00,27.0,78.77,14.8,0.0
2025-04-17 08:00:00,28.4,72.79,15.5,0.0
2025-04-17 09:00:00,30.0,58.57,16.6,0.0
2025-04-17 10:00:00,33.0,40.98,24.1,0.0
2025-04-17 11:00:00,34.6,35.42,26.4,0.0
2025-04-17 12:00:00,36.0,26.86,27.7,0.0
2025-04-17 13:00:00,38.0,22.56,31.7,0.0
2025-04-17 14:00:00,36.6,34.46,28.1,0.0
2025-04-17 15:00:00,37.0,30.82,27.7,0.0
2025-04-17 16:00:00,35.0,36.65,27.7,0.0
2025-04-17 17:00:00,34.0,44.96,27.0,0.0
2025-04-17 18:00:00,32.0,52.25,22.3,0.0
2025-04-17 19:00:00,30.0,62.27,24.1,0.0
2025-04-17 20:00:00,29.0,71.8,16.9,0.0
2025-04-17 21:00:00,29.0,70.1,18.4,0.0
2025-04-17 22:00:00,28.0,74.29,18.4,0.0
2025-04-17 23:00:00,28.2,78.2,19.3,0.0
2025-04-18 00:00:00,28.0,78.91,7.6,0.0
2025-04-18 01:00:00,27.0,78.77,11.2,0.0
2025-04-18 02:00:00,27.4,75.28,13.3,0.0
2025-04-18 03:00:00,27.0,74.13,11.2,0.0
2025-04-18 04:00:00,27.0,78.77,16.6,0.0
2025-04-18 05:00:00,27.2,78.06,11.5,0.0
2025-04-18 06:00:00,27.0,78.77,11.2,0.0
2025-04-18 07:00:00,27.0,78.77,18.4,0.0
2025-04-18 08:00:00,28.0,75.37,14.8,0.0
2025-04-18 09:00:00,30.0,55.07,22.3,0.0
2025-04-18 10:00:00,33.0,43.63,18.4,0.0
2025-04-18 11:00:00,33.0,51.84,18.4,0.0
2025-04-18 12:00:00,34.0,43.9,29.5,0.0
2025-04-18 13:00:00,34.0,41.25,33.5,0.0
2025-04-18 14:00:00,33.8,44.69,29.4,0.0
2025-04-18 15:00:00,33.0,40.98,37.1,0.0
2025-04-18 16:00:00,33.0,43.63,33.5,0.0
2025-04-18 17:00:00,32.0,52.35,19.9,0.0
2025-04-18 18:00:00,31.0,55.31,27.7,0.0
2025-04-18 19:00:00,29.0,62.05,33.5,0.0
2025-04-18 20:00:00,28.0,72.66,22.3,0.0
2025-04-18 21:00:00,28.0,74.29,24.1,0.0
2025-04-18 22:00:00,28.0,74.29,27.7,0.0
2025-04-18 23:00:00,27.2,78.06,24.0,0.0
2025-04-19 00:00:00,27.0,78.77,18.4,0.0
2025-04-19 01:00:00,27.0,78.77,13.0,0.0
2025-04-19 02:00:00,27.2,75.24,18.2,0.0
2025-04-19 03:00:00,27.0,74.13,13.0,0.0
2025-04-19 04:00:00,26.0,78.63,18.4,0.0
2025-04-19 05:00:00,26.4,75.12,18.8,0.0
2025-04-19 06:00:00,27.0,74.13,16.6,0.0
2025-04-19 07:00:00,27.0,74.13,16.6,0.0
2025-04-19 08:00:00,28.2,70.13,13.3,0.0
2025-04-19 09:00:00,30.0,62.27,22.3,0.0
2025-04-19 10:00:00,31.0,55.31,18.4,0.0
